code project,Length(km),Type of road,constructed road Type,Number Line,width road(m),slope land%,Cost Estimation(milion_rials)
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
21,5,No way,Freeway,3,17.15,33-70 %,5351250
21,5,No way,Freeway,3,17.15,33-70 %,5351250
21,5,No way,Freeway,3,17.15,33-70 %,5351250
21,5,No way,Freeway,3,17.15,33-70 %,5351250
21,5,No way,Freeway,3,17.15,33-70 %,5351250
24,5,No way,Freeway,3,17.15,33-70 %,5351250
24,5,No way,Freeway,3,17.15,33-70 %,5351250
24,5,No way,Freeway,3,17.15,33-70 %,5351250
24,5,No way,Freeway,3,17.15,33-70 %,5351250
24,5,No way,Freeway,3,17.15,33-70 %,5351250
24,5,No way,Freeway,3,17.15,70-110 %,8726250
143,5,No way,Mainroad ,1,6.25,33-70 %,750000
143,5,No way,Mainroad ,1,6.25,33-70 %,750000
144,5,No way,Highway ,2,12.8,33-70 %,4027500
144,5,No way,Highway ,2,12.8,33-70 %,4027500
144,5,No way,Highway ,2,12.8,33-70 %,4027500
145,0.993973506,No way,Freeway,2,12.8,33-70 %,800645.6591
145,5,No way,Freeway,2,12.8,33-70 %,4027500
147,5,No way,Mainroad ,2,12.5,33-70 %,1500000
147,5,No way,Mainroad ,2,12.5,33-70 %,1500000
147,5,No way,Mainroad ,2,12.5,33-70 %,1500000
159,5,No way,Mainroad ,1,6.25,33-70 %,750000
159,5,No way,Mainroad ,1,6.25,33-70 %,750000
159,5,No way,Mainroad ,1,6.25,33-70 %,750000
159,5,No way,Mainroad ,1,6.25,33-70 %,750000
165,5,No way,Mainroad ,2,12.5,70-110 %,3000000
175,5,No way,Mainroad ,2,12.5,33-70 %,1500000
175,5,No way,Mainroad ,2,12.5,33-70 %,1500000
203,5,No way,Highway ,2,12.8,33-70 %,4027500
203,5,No way,Highway ,2,12.8,33-70 %,4027500
311,5,No way,Mainroad ,2,12.5,33-70 %,1500000
311,5,No way,Mainroad ,2,12.5,33-70 %,1500000
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,4.38388732,No way,Freeway,2,12.8,33-70 %,3531221.236
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,1.987203398,No way,Freeway,2,12.8,33-70 %,1600692.337
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,70-110 %,6390000
328,5,No way,Freeway,2,12.8,70-110 %,6390000
328,5,No way,Freeway,2,12.8,70-110 %,6390000
330,1.075170388,No way,Freeway,3,17.15,33-70 %,1150701.107
330,1.557721696,No way,Freeway,3,17.15,33-70 %,1667151.645
330,1.557721696,No way,Freeway,3,17.15,33-70 %,1667151.645
330,2.421752607,No way,Freeway,3,17.15,33-70 %,2591880.727
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,70-110 %,8726250
330,5,No way,Freeway,3,17.15,70-110 %,8726250
330,5,No way,Freeway,3,17.15,70-110 %,8726250
330,5,No way,Freeway,3,17.15,70-110 %,8726250
333,4.288176547,No way,Freeway,2,12.8,33-70 %,3454126.208
333,5,No way,Freeway,2,12.8,33-70 %,4027500
333,5,No way,Freeway,2,12.8,33-70 %,4027500
333,5,No way,Freeway,2,12.8,33-70 %,4027500
333,5,No way,Freeway,2,12.8,33-70 %,4027500
333,5,No way,Freeway,2,12.8,33-70 %,4027500
333,5,No way,Freeway,2,12.8,33-70 %,4027500
339,4.697963569,No way,Freeway,2,12.8,33-70 %,3784209.655
339,5,No way,Freeway,2,12.8,33-70 %,4027500
339,5,No way,Freeway,2,12.8,33-70 %,4027500
339,5,No way,Freeway,2,12.8,33-70 %,4027500
339,5,No way,Freeway,2,12.8,33-70 %,4027500
339,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,3.656741345,No way,Freeway,2,12.8,33-70 %,2945505.153
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,70-110 %,6390000
344,5,No way,Freeway,2,12.8,33-70 %,4027500
344,5,No way,Freeway,2,12.8,33-70 %,4027500
344,5,No way,Freeway,2,12.8,33-70 %,4027500
344,5,No way,Freeway,2,12.8,33-70 %,4027500
344,5,No way,Freeway,2,12.8,33-70 %,4027500
344,5,No way,Freeway,2,12.8,33-70 %,4027500
344,5,No way,Freeway,2,12.8,33-70 %,4027500
345,5,No way,Freeway,2,12.8,33-70 %,4027500
346,3.722716403,No way,Freeway,2,12.8,33-70 %,2998648.063
346,3.722716403,No way,Freeway,2,12.8,33-70 %,2998648.063
346,5,No way,Freeway,2,12.8,33-70 %,4027500
346,5,No way,Freeway,2,12.8,33-70 %,4027500
346,5,No way,Freeway,2,12.8,33-70 %,4027500
346,5,No way,Freeway,2,12.8,33-70 %,4027500
346,5,No way,Freeway,2,12.8,33-70 %,4027500
346,0.583624001,No way,Freeway,2,12.8,70-110 %,745871.4733
346,3.057492694,No way,Freeway,2,12.8,70-110 %,3907475.662
346,3.312823187,No way,Freeway,2,12.8,70-110 %,4233788.033
346,5,No way,Freeway,2,12.8,70-110 %,6390000
352,4.008921263,No way,Freeway,2,12.8,33-70 %,3229186.077
352,5,No way,Freeway,2,12.8,33-70 %,4027500
354,2.56330161,No way,Freeway,2,12.8,33-70 %,2064739.447
375,5,No way,Freeway,2,12.8,70-110 %,6390000
389,3.1436801,No way,Mainroad ,2,12.5,33-70 %,943104.03
389,5,No way,Mainroad ,2,12.5,33-70 %,1500000
389,5,No way,Mainroad ,2,12.5,33-70 %,1500000
389,5,No way,Mainroad ,2,12.5,33-70 %,1500000
389,5,No way,Mainroad ,2,12.5,33-70 %,1500000
405,5,No way,Freeway,2,12.8,33-70 %,4027500
405,5,No way,Freeway,2,12.8,33-70 %,4027500
405,5,No way,Freeway,2,12.8,33-70 %,4027500
405,5,No way,Freeway,2,12.8,33-70 %,4027500
405,5,No way,Freeway,2,12.8,33-70 %,4027500
405,5,No way,Freeway,2,12.8,33-70 %,4027500
405,5,No way,Freeway,2,12.8,33-70 %,4027500
407,5,No way,Freeway,2,12.8,33-70 %,4027500
407,5,No way,Freeway,2,12.8,33-70 %,4027500
407,5,No way,Freeway,2,12.8,33-70 %,4027500
407,5,No way,Freeway,2,12.8,33-70 %,4027500
407,5,No way,Freeway,2,12.8,70-110 %,6390000
407,5,No way,Freeway,2,12.8,70-110 %,6390000
407,5,No way,Freeway,2,12.8,70-110 %,6390000
412,5,No way,Freeway,2,12.8,33-70 %,4027500
412,5,No way,Freeway,2,12.8,33-70 %,4027500
412,5,No way,Freeway,2,12.8,33-70 %,4027500
412,5,No way,Freeway,2,12.8,33-70 %,4027500
415,5,No way,Freeway,2,12.8,33-70 %,4027500
415,5,No way,Freeway,2,12.8,33-70 %,4027500
415,5,No way,Freeway,2,12.8,33-70 %,4027500
415,5,No way,Freeway,2,12.8,33-70 %,4027500
415,5,No way,Freeway,2,12.8,70-110 %,6390000
415,5,No way,Freeway,2,12.8,70-110 %,6390000
417,5,No way,Mainroad ,2,12.5,33-70 %,1500000
435,3.8433499,No way,Mainroad ,2,12.5,33-70 %,1153004.97
435,5,No way,Mainroad ,2,12.5,33-70 %,1500000
435,5,No way,Mainroad ,2,12.5,33-70 %,1500000
435,5,No way,Mainroad ,2,12.5,33-70 %,1500000
435,5,No way,Mainroad ,2,12.5,33-70 %,1500000
435,5,No way,Mainroad ,2,12.5,33-70 %,1500000
435,5,No way,Mainroad ,2,12.5,33-70 %,1500000
435,5,No way,Mainroad ,2,12.5,33-70 %,1500000
435,5,No way,Mainroad ,2,12.5,70-110 %,3000000
435,5,No way,Mainroad ,2,12.5,S>110 %,4162500
472,2.827849578,No way,Freeway,2,12.8,33-70 %,2277832.835
472,5,No way,Freeway,2,12.8,33-70 %,4027500
472,5,No way,Freeway,2,12.8,33-70 %,4027500
472,5,No way,Freeway,2,12.8,33-70 %,4027500
472,5,No way,Freeway,2,12.8,33-70 %,4027500
472,5,No way,Freeway,2,12.8,33-70 %,4027500
472,5,No way,Freeway,2,12.8,33-70 %,4027500
472,5,No way,Freeway,2,12.8,33-70 %,4027500
473,5,No way,Freeway,2,12.8,33-70 %,4027500
473,5,No way,Freeway,2,12.8,33-70 %,4027500
473,5,No way,Freeway,2,12.8,33-70 %,4027500
473,5,No way,Freeway,2,12.8,33-70 %,4027500
473,5,No way,Freeway,2,12.8,33-70 %,4027500
473,5,No way,Freeway,2,12.8,33-70 %,4027500
473,5,No way,Freeway,2,12.8,33-70 %,4027500
473,5,No way,Freeway,2,12.8,33-70 %,4027500
473,5,No way,Freeway,2,12.8,33-70 %,4027500
474,4.529729063,No way,Freeway,2,12.8,33-70 %,3648696.76
474,5,No way,Freeway,2,12.8,33-70 %,4027500
474,5,No way,Freeway,2,12.8,33-70 %,4027500
474,5,No way,Freeway,2,12.8,33-70 %,4027500
474,5,No way,Freeway,2,12.8,33-70 %,4027500
474,5,No way,Freeway,2,12.8,33-70 %,4027500
474,5,No way,Freeway,2,12.8,33-70 %,4027500
474,5,No way,Freeway,2,12.8,33-70 %,4027500
474,5,No way,Freeway,2,12.8,33-70 %,4027500
474,5,No way,Freeway,2,12.8,33-70 %,4027500
474,5,No way,Freeway,2,12.8,33-70 %,4027500
474,5,No way,Freeway,2,12.8,33-70 %,4027500
474,5,No way,Freeway,2,12.8,33-70 %,4027500
474,5,No way,Freeway,2,12.8,33-70 %,4027500
475,3.575080584,No way,Freeway,2,12.8,33-70 %,2879727.411
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
475,5,No way,Freeway,2,12.8,33-70 %,4027500
476,5,No way,Freeway,2,12.8,33-70 %,4027500
476,5,No way,Freeway,2,12.8,33-70 %,4027500
476,5,No way,Freeway,2,12.8,33-70 %,4027500
476,5,No way,Freeway,2,12.8,33-70 %,4027500
476,5,No way,Freeway,2,12.8,33-70 %,4027500
476,5,No way,Freeway,2,12.8,33-70 %,4027500
476,5,No way,Freeway,2,12.8,33-70 %,4027500
476,5,No way,Freeway,2,12.8,33-70 %,4027500
476,5,No way,Freeway,2,12.8,33-70 %,4027500
476,5,No way,Freeway,2,12.8,33-70 %,4027500
476,5,No way,Freeway,2,12.8,70-110 %,6390000
476,5,No way,Freeway,2,12.8,70-110 %,6390000
477,5,No way,Freeway,2,12.8,33-70 %,4027500
477,5,No way,Freeway,2,12.8,33-70 %,4027500
477,5,No way,Freeway,2,12.8,33-70 %,4027500
477,5,No way,Freeway,2,12.8,33-70 %,4027500
477,5,No way,Freeway,2,12.8,33-70 %,4027500
477,5,No way,Freeway,2,12.8,33-70 %,4027500
477,5,No way,Freeway,2,12.8,33-70 %,4027500
477,5,No way,Freeway,2,12.8,33-70 %,4027500
478,5,No way,Freeway,2,12.8,33-70 %,4027500
478,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,33-70 %,4027500
479,5,No way,Freeway,2,12.8,70-110 %,6390000
479,5,No way,Freeway,2,12.8,70-110 %,6390000
479,5,No way,Freeway,2,12.8,70-110 %,6390000
479,5,No way,Freeway,2,12.8,70-110 %,6390000
479,5,No way,Freeway,2,12.8,70-110 %,6390000
479,5,No way,Freeway,2,12.8,70-110 %,6390000
479,5,No way,Freeway,2,12.8,S>110 %,8752500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,33-70 %,4027500
480,5,No way,Freeway,2,12.8,70-110 %,6390000
480,5,No way,Freeway,2,12.8,70-110 %,6390000
481,3.668159334,No way,Freeway,2,12.8,33-70 %,2954702.344
481,4.090815955,No way,Freeway,2,12.8,33-70 %,3295152.252
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,33-70 %,4027500
481,5,No way,Freeway,2,12.8,70-110 %,6390000
481,5,No way,Freeway,2,12.8,70-110 %,6390000
481,5,No way,Freeway,2,12.8,70-110 %,6390000
481,5,No way,Freeway,2,12.8,S>110 %,8752500
482,5,No way,Freeway,2,12.8,33-70 %,4027500
482,5,No way,Freeway,2,12.8,33-70 %,4027500
482,5,No way,Freeway,2,12.8,33-70 %,4027500
482,5,No way,Freeway,2,12.8,33-70 %,4027500
482,5,No way,Freeway,2,12.8,33-70 %,4027500
482,5,No way,Freeway,2,12.8,33-70 %,4027500
482,5,No way,Freeway,2,12.8,33-70 %,4027500
482,5,No way,Freeway,2,12.8,33-70 %,4027500
482,5,No way,Freeway,2,12.8,33-70 %,4027500
482,5,No way,Freeway,2,12.8,33-70 %,4027500
482,5,No way,Freeway,2,12.8,33-70 %,4027500
482,5,No way,Freeway,2,12.8,33-70 %,4027500
482,5,No way,Freeway,2,12.8,33-70 %,4027500
482,5,No way,Freeway,2,12.8,33-70 %,4027500
482,5,No way,Freeway,2,12.8,33-70 %,4027500
482,5,No way,Freeway,2,12.8,70-110 %,6390000
482,5,No way,Freeway,2,12.8,70-110 %,6390000
484,5,No way,Freeway,2,12.8,33-70 %,4027500
484,5,No way,Freeway,2,12.8,33-70 %,4027500
484,5,No way,Freeway,2,12.8,33-70 %,4027500
484,5,No way,Freeway,2,12.8,33-70 %,4027500
484,5,No way,Freeway,2,12.8,33-70 %,4027500
484,5,No way,Freeway,2,12.8,33-70 %,4027500
484,5,No way,Freeway,2,12.8,33-70 %,4027500
484,5,No way,Freeway,2,12.8,33-70 %,4027500
484,5,No way,Freeway,2,12.8,33-70 %,4027500
484,5,No way,Freeway,2,12.8,33-70 %,4027500
484,5,No way,Freeway,2,12.8,33-70 %,4027500
484,5,No way,Freeway,2,12.8,70-110 %,6390000
484,5,No way,Freeway,2,12.8,70-110 %,6390000
484,5,No way,Freeway,2,12.8,70-110 %,6390000
484,5,No way,Freeway,2,12.8,70-110 %,6390000
485,5,No way,Freeway,2,12.8,33-70 %,4027500
485,5,No way,Freeway,2,12.8,33-70 %,4027500
485,5,No way,Freeway,2,12.8,33-70 %,4027500
485,5,No way,Freeway,2,12.8,33-70 %,4027500
485,5,No way,Freeway,2,12.8,33-70 %,4027500
485,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
486,5,No way,Freeway,2,12.8,33-70 %,4027500
487,5,No way,Freeway,2,12.8,33-70 %,4027500
487,5,No way,Freeway,2,12.8,33-70 %,4027500
487,5,No way,Freeway,2,12.8,33-70 %,4027500
487,5,No way,Freeway,2,12.8,S>110 %,8752500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,33-70 %,4027500
488,5,No way,Freeway,2,12.8,70-110 %,6390000
489,5,No way,Freeway,2,12.8,33-70 %,4027500
489,5,No way,Freeway,2,12.8,33-70 %,4027500
489,5,No way,Freeway,2,12.8,33-70 %,4027500
490,5,No way,Freeway,2,12.8,33-70 %,4027500
490,5,No way,Freeway,2,12.8,33-70 %,4027500
491,3.961798333,No way,Freeway,2,12.8,33-70 %,3191228.557
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,33-70 %,4027500
491,5,No way,Freeway,2,12.8,70-110 %,6390000
491,5,No way,Freeway,2,12.8,70-110 %,6390000
493,3.48851436,No way,Freeway,2,12.8,33-70 %,2809998.317
493,3.48851436,No way,Freeway,2,12.8,33-70 %,2809998.317
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,33-70 %,4027500
493,5,No way,Freeway,2,12.8,70-110 %,6390000
